FILENUMBER,LATITUDE,LONGITUDE,FCYEAR,GLOBALID
022282003,39.77609832,-104.81186362,2003,{00000000-0000-0000-0000-000000000000}
022292003,39.73484781,-104.98193458,2003,{00000000-0000-0000-0000-000000000000}
022312003,39.72278225,-104.99305499,2003,{00000000-0000-0000-0000-000000000000}
021592003,39.78249194,-105.04305618,2003,{00000000-0000-0000-0000-000000000000}
021602003,39.78513955,-104.80633759,2003,{00000000-0000-0000-0000-000000000000}
021612003,39.6648047,-104.91572111,2003,{00000000-0000-0000-0000-000000000000}
021642003,39.74356971,-104.97498594,2003,{00000000-0000-0000-0000-000000000000}
021652003,39.7771078,-104.76686068,2003,{00000000-0000-0000-0000-000000000000}
021672003,39.75707678,-104.91719834,2003,{00000000-0000-0000-0000-000000000000}
022982003,39.63059183,-105.03768027,2003,{00000000-0000-0000-0000-000000000000}
023002003,39.70014121,-105.04294945,2003,{00000000-0000-0000-0000-000000000000}
023012003,39.67245077,-104.99029939,2003,{00000000-0000-0000-0000-000000000000}
023022003,39.7753419,-104.8224367,2003,{00000000-0000-0000-0000-000000000000}
023032003,39.77549558,-104.82551684,2003,{00000000-0000-0000-0000-000000000000}
023052003,39.75392265,-105.0302868,2003,{00000000-0000-0000-0000-000000000000}
023332003,39.77620131,-104.76588014,2003,{00000000-0000-0000-0000-000000000000}
021392003,39.7769699,-104.83098924,2003,{00000000-0000-0000-0000-000000000000}
021402003,39.77710702,-104.76662943,2003,{00000000-0000-0000-0000-000000000000}
021412003,39.72612192,-104.94698211,2003,{00000000-0000-0000-0000-000000000000}
021432003,39.76106218,-104.94910732,2003,{00000000-0000-0000-0000-000000000000}
021442003,39.76360506,-105.01402159,2003,{00000000-0000-0000-0000-000000000000}
021462003,39.76881224,-105.03784751,2003,{00000000-0000-0000-0000-000000000000}
021472003,39.71610644,-105.04850322,2003,{00000000-0000-0000-0000-000000000000}
021492003,39.72669242,-105.04543061,2003,{00000000-0000-0000-0000-000000000000}
021502003,39.72941941,-104.99673423,2003,{00000000-0000-0000-0000-000000000000}
021512003,39.71125106,-104.97134274,2003,{00000000-0000-0000-0000-000000000000}
021522003,39.77723125,-104.95114361,2003,{00000000-0000-0000-0000-000000000000}
021542003,39.70617348,-104.86924472,2003,{00000000-0000-0000-0000-000000000000}
021552003,39.7635459,-104.95940558,2003,{00000000-0000-0000-0000-000000000000}
021572003,39.68847294,-105.00718299,2003,{00000000-0000-0000-0000-000000000000}
021582003,39.75483199,-104.97411959,2003,{00000000-0000-0000-0000-000000000000}
021892003,39.78121635,-104.76430502,2003,{00000000-0000-0000-0000-000000000000}
021922003,39.7577031,-104.90854559,2003,{00000000-0000-0000-0000-000000000000}
021932003,39.6543735,-104.89651193,2003,{00000000-0000-0000-0000-000000000000}
021942003,39.78476445,-104.80488392,2003,{00000000-0000-0000-0000-000000000000}
023072003,39.77125001,-104.99522723,2003,{00000000-0000-0000-0000-000000000000}
023082003,39.68680308,-104.98316474,2003,{00000000-0000-0000-0000-000000000000}
023092003,39.78385621,-104.84137251,2003,{00000000-0000-0000-0000-000000000000}
023102003,39.69013323,-105.03585209,2003,{00000000-0000-0000-0000-000000000000}
023122003,39.71049819,-105.00610499,2003,{00000000-0000-0000-0000-000000000000}
023132003,39.71458981,-105.00998434,2003,{00000000-0000-0000-0000-000000000000}
023142003,39.76769971,-104.95206736,2003,{00000000-0000-0000-0000-000000000000}
